,,,,,,
New Vocab - ECHOES resource types - draft before ingest into Vocabs Editor for further work,,,,,,
,,,,,,
,website,website,http://purl.org/coar/resource_type/c_7ad9,"""A collection of related web pages containing text, images, videos and/or other digital assets that are addressed relative to a common Uniform Resource Locator (URL). A web site is hosted on at least one web server, accessible via a network such as the Internet or a private local area network. [Source: http://purl.org/spar/fabio/WebSite]"" (http://purl.org/coar/resource_type/c_7ad9)",http://id.loc.gov/vocabulary/marcgt/web,
,database,database,http://id.loc.gov/vocabulary/marcgt/dtb,"""Collection of logically interrelated data stored together in files created and managed by a database management system."" (http://id.loc.gov/vocabulary/marcgt/dtb)",,
,directory,directory,http://id.loc.gov/vocabulary/marcgt/dir,"""Directory or register of persons or corporate bodies."" (http://id.loc.gov/vocabulary/marcgt/dir)",,
,encyclopedia,encyclopedia,http://id.loc.gov/vocabulary/marcgt/enc,"""Resource containing informational articles on subjects in every field of knowledge, or one that is limited to a special field or subject."" (http://id.loc.gov/vocabulary/marcgt/enc)",,
,Gazetteer,gazetteer,,"""Resources that function as geographical dictionaries or directories,
containing information about place names and their corresponding coordinates or
attributes. They support geospatial data management and enable the integration
of geographic information into digital systems."" (Arıkan-Caba, C., Carloni, M., Charvát, V. M., Durco, M., & Felicetti, A. (2024). Overview of Models and Formats in the Field. Zenodo. https://doi.org/10.5281/zenodo.14575783, p.11) ",,describes functionality
,knowledge organization system,knowledge organization system,http://purl.org/coar/resource_type/GSZA-Y7V7,"""All types of schemes for organizing information and promoting knowledge management. Knowledge organization systems include classification schemes that organize materials at a general level (such as books on a shelf), subject headings that provide more detailed access, and authority files that control variant versions of key information (such as geographic names and personal names). They also include less-traditional schemes, such as semantic artifacts, semantic networks and ontologies. https://www.clir.org/pubs/reports/pub91/1knowledge/"" (http://purl.org/coar/resource_type/GSZA-Y7V7)",,
Software,,software,http://purl.org/dc/dcmitype/Software,"""A computer program in source or compiled form."" (http://purl.org/dc/dcmitype/Software)",http://purl.org/coar/resource_type/c_5ce6 ; https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#software ; https://standards.iso.org/iso/19115/resources/Codelists/gml/MD_ScopeCode.xml,"maybe use description for research software from EOSC handbook? ""Software for simulating, generating, processing and analysing
research data. This includes notebooks and workflows. Software
is referred to via a software PID"""
,Software Library,software library,,"""a collection of programs that are used to develop software"" (https://www.collinsdictionary.com/dictionary/english/software-library)",,"describes functionality, Cloud service instead"
,Source code,source code,http://purl.org/coar/resource_type/QH80-2R4E,"""Source code is any collection of code, with or without comments, written using a human-readable programming language, usually as plain text. [Source: https://en.wikipedia.org/wiki/Source_code]"" (http://purl.org/coar/resource_type/QH80-2R4E)",,
,ComputationalNotebook,computational notebook,https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#computationalnotebook,"""A virtual notebook environment used for literate programming."" (https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#computationalnotebook)",,
Dataset,,dataset,http://purl.org/coar/resource_type/c_ddb1,"""A collection of related facts and data encoded in a defined structure. [Source: Adapted from http://purl.org/spar/fabio/Dataset]"" (http://purl.org/coar/resource_type/c_ddb1)",https://schema.org/Dataset ; http://purl.org/dc/dcmitype/Dataset ; https://standards.iso.org/iso/19115/resources/Codelists/gml/MD_ScopeCode.xml ; https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#dataset,It's also in Parthenos: https://ontome.net/class/1123/namespace/216 
,bibliographic data,bibliographic data,http://id.loc.gov/vocabulary/marcgt/bda,"""Data with bibliographic citations, including data from library catalogs or citation databases in a structured or unstructured form."" (http://id.loc.gov/vocabulary/marcgt/bda)",,
,collection,collection,http://purl.org/coar/resource_type/RMP5-3GQ6,"""An aggregation of resources, which may encompass collections of one resourceType as well as those of mixed types. A collection is described as a group; its parts may also be separately described. https://datacite-metadata-schema.readthedocs.io/en/4.5/appendices/appendix-1/resourceTypeGeneral/#collection"" (http://purl.org/coar/resource_type/RMP5-3GQ6)",http://purl.org/dc/dcmitype/Collection ; https://standards.iso.org/iso/19115/resources/Codelists/gml/MD_ScopeCode.xml ; https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#collection,
,Dataset,dataset,http://purl.org/coar/resource_type/c_ddb1,"""A collection of related facts and data encoded in a defined structure. [Source: Adapted from http://purl.org/spar/fabio/Dataset]"" (http://purl.org/coar/resource_type/c_ddb1)","http://purl.org/dc/dcmitype/Dataset ; https://schema.org/Dataset
 ; https://standards.iso.org/iso/19115/resources/Codelists/gml/MD_ScopeCode.xml ; https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#dataset","

It's also in Parthenos: https://ontome.net/class/1123/namespace/216 "
,dictionary,dictionary,http://id.loc.gov/vocabulary/marcgt/dic,"""a reference source in print or electronic form containing words usually alphabetically arranged along with information about their forms, pronunciations, functions, etymologies, meanings, and syntactic and idiomatic uses"" (https://www.merriam-webster.com/dictionary/dictionary)",,"describes functionality, should be covered by activity/tadirah rather"
,manuscript,manuscript,http://id.loc.gov/vocabulary/marcgt/man,"""Handwritten documents created before the invention of the printing press, including originals of compiled maps that are drawn but not printed."" (http://id.loc.gov/vocabulary/marcgt/man)",http://purl.org/coar/resource_type/c_0040,
,map,map,http://purl.org/coar/resource_type/c_12cd,"""Defined as a representation normally to scale and on a flat medium, of a selection of material or abstract features on, or in relation to, the surface of the earth or of another celestial body. [Source: https://www.loc.gov/marc/bibliographic/bd007a.html]"" (http://purl.org/coar/resource_type/c_12cd)",http://id.loc.gov/vocabulary/marcgt/map,
,musical notation,musical notation,http://purl.org/coar/resource_type/c_18cw,"""Symbols used to write music, as in a music score, and to express mathematical concepts. [Source: Adapted from https://products.abc-clio.com/ODLIS/odlis_n.aspx]"" (http://purl.org/coar/resource_type/c_18cw)",,
,newspaper,newspaper,http://id.loc.gov/vocabulary/marcgt/new,"""Resource that designed to be a primary source of information on current events."" (http://id.loc.gov/vocabulary/marcgt/new)",http://purl.org/coar/resource_type/c_2fe3,
,newspaper article,newspaper article,http://purl.org/coar/resource_type/c_998f,"""Work consisting of a news item appearing in a general-interest newspaper or other general news periodical, containing information of current and timely interest in a field. (Adapted from http://www.reference.md/files/D018/mD018431.html)"" (http://purl.org/coar/resource_type/c_998f)",,altLabel for semantic resource
,database,database,http://id.loc.gov/vocabulary/marcgt/dtb,"""Collection of logically interrelated data stored together in files created and managed by a database management system."" (http://id.loc.gov/vocabulary/marcgt/dtb)",,
,directory,directory,http://id.loc.gov/vocabulary/marcgt/dir,"""Directory or register of persons or corporate bodies."" (http://id.loc.gov/vocabulary/marcgt/dir)",,
,encyclopedia,encyclopedia,http://id.loc.gov/vocabulary/marcgt/enc,"""Resource containing informational articles on subjects in every field of knowledge, or one that is limited to a special field or subject."" (http://id.loc.gov/vocabulary/marcgt/enc)",,
,Gazetteer,gazetteer,,"""Resources that function as geographical dictionaries or directories,
containing information about place names and their corresponding coordinates or
attributes. They support geospatial data management and enable the integration
of geographic information into digital systems."" (Arıkan-Caba, C., Carloni, M., Charvát, V. M., Durco, M., & Felicetti, A. (2024). Overview of Models and Formats in the Field. Zenodo. https://doi.org/10.5281/zenodo.14575783, p.11) ",,
,knowledge organization system,knowledge organization system,http://purl.org/coar/resource_type/GSZA-Y7V7,"""All types of schemes for organizing information and promoting knowledge management. Knowledge organization systems include classification schemes that organize materials at a general level (such as books on a shelf), subject headings that provide more detailed access, and authority files that control variant versions of key information (such as geographic names and personal names). They also include less-traditional schemes, such as semantic artifacts, semantic networks and ontologies. https://www.clir.org/pubs/reports/pub91/1knowledge/"" (http://purl.org/coar/resource_type/GSZA-Y7V7)",,
workflow,,workflow,http://purl.org/coar/resource_type/c_393c,"""A recorded sequence of connected steps, which may be automated, specifying a reliably repeatable sequence of operations to be undertaken when conducting a particular job, for example an in silico investigation that extracts and processes information from a number of bioinformatics databases. [Source: Adapted from https://sparontologies.github.io/fabio/current/fabio.html#d4e6123]"" (http://purl.org/coar/resource_type/c_393c)",https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#workflow ; http://purl.obolibrary.org/obo/NCIT_C42753,broader than workflow
,ComputationalNotebook,computational notebook,https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#computationalnotebook,"""A virtual notebook environment used for literate programming."" (https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#computationalnotebook)",,
,research protocol,research protocol,http://purl.org/coar/resource_type/YZ1N-ZFT9,"""The protocol is a detailed plan of the research study including a project summary, project description covering the rationale, objectives, methodology, data management and analysis, ethical considerations, gender issues and references. [Source: Adapted from https://www.who.int/publications/i/item/a-practical-guide-for-health-researchers]"" (http://purl.org/coar/resource_type/YZ1N-ZFT9)",,
,workflow,workflow,http://purl.org/coar/resource_type/c_393c,"""A recorded sequence of connected steps, which may be automated, specifying a reliably repeatable sequence of operations to be undertaken when conducting a particular job, for example an in silico investigation that extracts and processes information from a number of bioinformatics databases. [Source: Adapted from https://sparontologies.github.io/fabio/current/fabio.html#d4e6123]"" (http://purl.org/coar/resource_type/c_393c)",https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#workflow ; http://purl.obolibrary.org/obo/NCIT_C42753,keep as altLAbel
training material,,training material,,"""Tutorials, lessons or didactic resources explaining how to perform an action or highlighting the potential learning outcomes gained from using that material."" (https://marketplace.sshopencloud.eu/about/data-population#training-materials)",,
,ComputationalNotebook,computational notebook,https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#computationalnotebook,"""A virtual notebook environment used for literate programming."" (https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#computationalnotebook)",,
Publication,,publication,,"""the act of making information or stories available to people in a printed or electronic form"" (https://dictionary.cambridge.org/de/worterbuch/englisch/publication)",,
,bibliography,bibliography,http://purl.org/coar/resource_type/c_86bc,"""A list of the books and articles that have been used by someone when writing a particular book or article [Source: https://dictionary.cambridge.org/dictionary/english/bibliography]"" (http://purl.org/coar/resource_type/c_86bc)",http://id.loc.gov/vocabulary/marcgt/bib,
,article,article,http://id.loc.gov/vocabulary/marcgt/art,"""Composition prepared for publication as an independent portion of a magazine, newspaper, encyclopedia, or other work."" (http://id.loc.gov/vocabulary/marcgt/art)",,
,blog post,blog post,http://purl.org/coar/resource_type/c_6947,"""A piece of writing or other item of content published on a blog. [Source: https://www.lexico.com/definition/blog_post]"" (http://purl.org/coar/resource_type/c_6947)",,
,book,book,http://id.loc.gov/vocabulary/marcgt/boo,"""Resource comprising a collection of leaves of paper, parchment, wood, stiffened textile, ivory, metal tablets, or other flat materials, that are blank, written on, or printed, and are strung or bound together in a volume. Includes e-books or electronic resources structured like a book."" (http://id.loc.gov/vocabulary/marcgt/boo)",https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#book ; http://purl.org/coar/resource_type/c_2f33,
,book part,book part,http://purl.org/coar/resource_type/c_3248,"""A defined chapter or section of a book, usually with a separate title or number. [Source: http://purl.org/spar/fabio/BookChapter]"" (http://purl.org/coar/resource_type/c_3248)",,
,BookChapter,book chapter,https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#bookchapter,"""One of the main divisions of a book."" (https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#bookchapter)",,
,conference output,conference output,http://purl.org/coar/resource_type/c_c94f,"""All kind of digital resources contributed to a conference, like conference presentation (slides), conference report, conference lecture, abstracts, demonstrations. For conference papers, posters or proceedings the specific sub-concepts should be used. [COAR definition]"" (http://purl.org/coar/resource_type/c_c94f)",,
,data management plan,data management plan,http://purl.org/coar/resource_type/c_ab20,"""A formal statement describing how research data will be managed and documented throughout a research project and the terms regarding the subsequent deposit of the data with a data repository for long-term management and preservation. [Source: https://casrai.org/rdm-glossary]"" (http://purl.org/coar/resource_type/c_ab20)","https://vocabularies.coar-repositories.org/resource_types/c_ab20/",
,journal,journal,http://id.loc.gov/vocabulary/marcgt/jou,"""Periodical publication that contains scholarly articles or disseminates information on developments in a particular subject field."" (http://id.loc.gov/vocabulary/marcgt/jou)",https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#journal ; http://purl.org/coar/resource_type/c_0640,
,report,report,http://purl.org/coar/resource_type/c_93fc,"""A report is a separately published record of research findings, research still in progress, policy developments and events, or other technical findings, usually bearing a report number and sometimes a grant number assigned by the funding agency. Also, an official record of the activities of a committee or corporate entity, the proceedings of a government body, or an investigation by an agency, whether published or private, usually archived or submitted to a higher authority, voluntarily or under mandate. In a more general sense, any formal account of facts or information related to a specific event or phenomenon, sometimes given at regular intervals. [Source: http://lu.com/odlis/odlis_R.cfm#report ]"" (http://purl.org/coar/resource_type/c_93fc)",https://datacite-metadata-schema.readthedocs.io/en/4.6/appendices/appendix-1/resourceTypeGeneral/#report; http://purl.org/coar/resource_type/c_18op,
,Research Publications ,research publication,,"""Textual output of scientific research that gives the possibility of
verification of research findings or their use in new research;
mostly but not only refers to peer reviewed publications in
journals, can also be publications that are not peer reviewed
(such as preprints)"" (Research Resource Categories from the EOSC Federation Handbook (section 5.1): https://zenodo.org/records/14999577 )",http://purl.org/coar/resource_type/c_2df8fbb1; http://purl.org/coar/resource_type/c_6501,
,technical documentation,technical documentation,http://purl.org/coar/resource_type/c_71bd,"""Technical documentation refers to any type of documentation that describes handling, functionality and architecture of a technical product or a product under development or use. [Source: https://en.wikipedia.org/wiki/Technical_documentation]"" (http://purl.org/coar/resource_type/c_71bd)",,
,manuscript,manuscript,http://id.loc.gov/vocabulary/marcgt/man,"""Handwritten documents created before the invention of the printing press, including originals of compiled maps that are drawn but not printed."" (http://id.loc.gov/vocabulary/marcgt/man)",http://purl.org/coar/resource_type/c_0040,
,map,map,http://purl.org/coar/resource_type/c_12cd,"""Defined as a representation normally to scale and on a flat medium, of a selection of material or abstract features on, or in relation to, the surface of the earth or of another celestial body. [Source: https://www.loc.gov/marc/bibliographic/bd007a.html]"" (http://purl.org/coar/resource_type/c_12cd)",http://id.loc.gov/vocabulary/marcgt/map,
